Plot,Sub_Plot,Tree_Tag,X_Coordinate,Y_Coordinate,Local_Name,Genus,Species,DBH_inch,DBH_cm,POM_m,Height_m,North,East,Elevation_m
13,10,8525,0.75,3,Tamalan,Dalvergia,oliveri,12,30.5,1.3,14.1,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,10,8526,2.7,2.8,Thintwelnyo,Diospyros,mollis,4.41,11.2,1.3,6,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,10,8527,4.6,2.45,Thintwelnyo,Diospyros,mollis,8.8,22.4,1.3,14,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,11,8528,0.8,2,Kyattatt,Combretum,apetalum,6.59,16.7,1.3,7,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,11,8529,0.7,2,Kyattatt,Combretum,apetalum,4.57,11.6,1.3,9.6,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,12,8530,2.7,4.3,Oakshit,Aegle,marmelos,5.82,14.8,1.3,9,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,12,8531,3.25,0.9,Tawthidin,Mallotus,philippinensis,5.03,12.8,1.3,8,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,13,8534,3.25,0.9,Aonetone,Litsea,glutinosa,5.2,13.2,1.3,11,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,13,8532,4.6,4.5,Naywel,Flacourtia,indica,11.87,30.1,1.3,12,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,13,8533,2.7,2.45,Thayetcho,Sideroxylon,burmanicum,4.84,12.3,1.3,9.2,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,14,8535,4.6,1.5,Yone,Anogeissus,acuminate,5.94,15.1,1.3,9,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,15,8538,3.15,1.4,Thanthay,Stereospermum,neuranthum,5.4,13.7,1.3,12,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,15,8537,2.4,4.5,Thintwelnyo,Diospyros,mollis,5.15,13.1,1.3,13.5,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,15,8536,2.25,0.7,Yindike,Dalvergia,cultiata,6,15.2,1.3,10.6,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,16,8539,2.4,2,Thintwelnyo,Diospyros,mollis,11.75,29.8,1.3,14,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,16,8540,2.65,1.9,Thintwelnyo,Diospyros,mollis,13.6,34.5,1.3,16,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
14,1,3372,0.7,4.5,Tawkyatsar,Chiolanthus,ramiflorus,6.76,17.2,1.3,8.8,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,2,3375,2,1.75,Aonetone,Litsea,glutinosa,7.2,18.3,1.3,10,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,2,3373,2,0.3,Kyunkhauknwe,Vitex,limonifolia,5.68,14.4,1.3,9.5,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,2,3374,1.9,0.5,Kyunkhauknwe,Vitex,limonifolia,6.19,15.7,1.3,9.5,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,2,3376,3,2.55,Thayingyi,Croton,laevigatus,8.5,21.6,1.3,12,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,2,3377,3.4,2.35,Yone,Anogeissus,acuminate,4.25,10.8,1.3,13,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,3,3379,2.7,4,Aonetone,Litsea,glutinosa,7.9,20.1,1.3,13,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,3,3378,2,0.65,Kwanlein,Ardisia,aff polycephala,6.05,15.4,1.3,4,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,4,3381,0.6,2.65,Bonmelzar,Albizia,chinensis,7.4,18.8,1.3,10.9,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,4,3382,2.6,3.9,Kayamet,Pterospermum,diversifolium,8.3,21.1,1.3,13,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,4,3385,4.95,4,Tawkyatsar,Chiolanthus,ramiflorus,6.54,16.6,1.3,10.1,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,4,3383,3,4.5,Tawthayet,Mangifera,sylvatica,10.5,26.7,1.3,11,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,4,3380,0.8,2.5,Thayingyi,Croton,laevigatus,5.4,13.7,1.3,7,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,5,3386,0.65,2.3,Kyunkhauknwe,Vitex,limonifolia,10.24,26,1.3,10,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,6,3387,2,2.4,Tawthidin,Mallotus,philippinensis,7.68,19.5,1.3,11,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,6,3388,1.9,2.55,Tawthidin,Mallotus,philippinensis,5.4,13.7,1.3,11,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,6,3389,1.9,2.6,Tawthidin,Mallotus,philippinensis,5.7,14.5,1.3,11,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,6,3390,2.2,2.6,Tawthidin,Mallotus,philippinensis,8,20.3,1.3,11,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,7,3400,0.5,2.5,Thayingyi,Croton,laevigatus,4.95,12.6,1.3,12,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,8,3399,3,0.9,Thitsaint,Terminalia,bellirica,10.45,26.5,1.3,12,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,9,3398,2.5,4.2,Thayingyi,Croton,laevigatus,5.3,13.5,1.3,6.4,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,9,3397,2.5,4.56,Thayingyi,Croton,laevigatus,5,12.7,1.3,7,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,10,3396,1.1,2.85,Lathtoke,Holarrhena,pubescens,5.49,13.9,1.3,8.3,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,10,3395,4.5,2.1,Zinbyun,Dillenia,pentagyna,5.02,12.8,1.3,10.9,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,11,3394,0.65,1.65,Hmike,Cordia,grandis,5.4,13.7,1.3,7,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,11,3392,4,4.4,Kayamet,Pterospermum,diversifolium,8.31,21.1,1.3,12.9,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,11,3393,0.9,4.55,Thadi,Protium,serratum,9.14,23.2,1.3,14,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,12,3391,2.5,3,Tawthidin,Mallotus,philippinensis,6.59,16.7,1.3,8.7,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,12,8501,4,1.2,Thadi,Protium,serratum,10.84,27.5,1.3,14,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,12,8502,3,0.5,Thayingyi,Croton,laevigatus,4.3,10.9,1.3,10,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,14,8503,4,1.5,Phatsutt,Eriobortrya,bengalensis,4.12,10.5,1.3,6,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
14,16,8504,3,0.5,Unknown,NA,NA,4.95,12.6,1.3,8,"20° 54' 20.09"" N","95° 14' 20.24"" E",841.57
15,1,8571,3.1,4,Kyattatt,Combretum,apetalum,4.15,10.5,1.3,9,"20° 54' 26.14"" N","95° 14' 20.86"" E",885.75
15,1,8569,1.25,2,Thadi,Protium,serratum,5.4,13.7,1.3,5.9,"20° 54' 26.14"" N","95° 14' 20.86"" E",885.75
